id,dest_year,origin_fips,dest_fips,returns,exempt,agi
287,1996,13,45,2,5,50
288,1996,13,47,11,28,298
289,1996,13,49,2,5,50
290,1996,13,51,2,5,50
291,1996,13,53,14,33,363
292,1996,13,55,2,5,50
293,1996,13,57,10,11,111
294,1996,13,59,2,5,50
295,1996,13,61,2,5,50
296,1996,13,63,16,39,360
297,1996,13,65,2,5,50
298,1996,13,67,2,5,50
299,1996,13,69,2,5,50
300,1996,13,71,2,5,50
301,1996,13,73,2,5,50
302,1996,13,75,2,5,50
303,1996,13,77,2,5,50
304,1996,13,79,2,5,50
305,1996,13,81,2,5,50
306,1996,13,83,35,70,674
307,1996,13,85,2,5,50
308,1996,13,87,2,5,50
309,1996,15,1,84,164,1867
310,1996,15,3,1,2,15
311,1996,15,5,1,2,15
312,1996,15,7,1,2,15
313,1996,15,9,1,2,15
314,1996,15,11,1,2,15
315,1996,15,13,1,2,15
316,1996,15,15,1113,2649,34774
317,1996,15,17,1,2,15
318,1996,15,19,1,2,15
319,1996,15,21,1,2,15
320,1996,15,23,1,2,15
321,1996,15,25,1,2,15
322,1996,15,27,13,26,239
323,1996,15,29,1,2,15
324,1996,15,31,1,2,15
325,1996,15,33,1,2,15
326,1996,15,35,1,2,15
327,1996,15,37,1,2,15
328,1996,15,39,1,2,15
329,1996,15,41,1,2,15
330,1996,15,43,1,2,15
331,1996,15,45,1,2,15
332,1996,15,47,1,2,15
333,1996,15,49,1,2,15
334,1996,15,51,1,2,15
335,1996,15,53,1,2,15
336,1996,15,55,1,2,15
337,1996,15,57,1,2,15
338,1996,15,59,1,2,15
339,1996,15,61,1,2,15
340,1996,15,63,1,2,15
341,1996,15,65,1,2,15
342,1996,15,67,1,2,15
343,1996,15,69,1,2,15
344,1996,15,71,1,2,15
345,1996,15,73,1,2,15
346,1996,15,75,1,2,15
347,1996,15,77,1,2,15
348,1996,15,79,1,2,15
349,1996,15,81,1,2,15
350,1996,15,83,1,2,15
351,1996,15,85,1,2,15
352,1996,15,87,1,2,15
353,1996,17,1,26,47,673
354,1996,17,3,2,3,29
355,1996,17,5,2,3,29
356,1996,17,7,2,3,29
357,1996,17,9,2,3,29
358,1996,17,11,2,3,29
359,1996,17,13,2,3,29
360,1996,17,15,2,3,29
361,1996,17,17,9934,23566,300986
362,1996,17,19,2,3,29
363,1996,17,21,25,59,647
364,1996,17,23,2,3,29
365,1996,17,25,2,3,29
366,1996,17,27,2,3,29
367,1996,17,29,2,3,29
368,1996,17,31,2,3,29
369,1996,17,33,2,3,29
370,1996,17,35,2,3,29
371,1996,17,37,2,3,29
372,1996,17,39,2,3,29
373,1996,17,41,2,3,29
374,1996,17,43,2,3,29
375,1996,17,45,2,3,29
376,1996,17,47,2,3,29
377,1996,17,49,2,3,29
378,1996,17,51,2,3,29
379,1996,17,53,2,3,29
380,1996,17,55,133,267,3237
381,1996,17,57,20,30,358
382,1996,17,59,2,3,29
383,1996,17,61,2,3,29
384,1996,17,63,2,3,29
385,1996,17,65,2,3,29
386,1996,17,67,2,3,29
387,1996,17,69,2,3,29
388,1996,17,71,2,3,29
389,1996,17,73,2,3,29
390,1996,17,75,2,3,29
391,1996,17,77,2,3,29
392,1996,17,79,2,3,29
393,1996,17,81,2,3,29
394,1996,17,83,2,3,29
395,1996,17,85,2,3,29
396,1996,17,87,2,3,29
397,1996,19,1,147,300,4025
398,1996,19,3,2,5,49
399,1996,19,5,107,211,2201
400,1996,19,7,2,5,49
401,1996,19,9,2,5,49
402,1996,19,11,180,433,4988
403,1996,19,13,10,19,174
404,1996,19,15,2,5,49
405,1996,19,17,2,5,49
406,1996,19,19,22944,62848,958469
407,1996,19,21,2,5,49
408,1996,19,23,2,5,49
409,1996,19,25,2,5,49
410,1996,19,27,32,80,867
411,1996,19,29,2,5,49
412,1996,19,31,2,5,49
413,1996,19,33,2,5,49
414,1996,19,35,2,5,49
415,1996,19,37,13,29,373
416,1996,19,39,2,5,49
417,1996,19,41,2,5,49
418,1996,19,43,23,57,884
419,1996,19,45,2,5,49
420,1996,19,47,2,5,49
421,1996,19,49,2,5,49
422,1996,19,51,155,426,4160
423,1996,19,53,2,5,49
424,1996,19,55,11,27,397
425,1996,19,57,33,65,608
426,1996,19,59,10,29,297
427,1996,19,61,2,5,49
428,1996,19,63,2,5,49
429,1996,19,65,41,83,1075
430,1996,19,67,2,5,49
431,1996,19,69,2,5,49
432,1996,19,71,2,5,49
433,1996,19,73,2,5,49
434,1996,19,75,2,5,49
435,1996,19,77,2,5,49
436,1996,19,79,2,5,49
437,1996,19,81,12,25,351
438,1996,19,83,28,84,709
439,1996,19,85,2,5,49
440,1996,19,87,2,5,49
441,1996,21,1,1,2,17
442,1996,21,3,1,2,17
443,1996,21,5,1,2,17
444,1996,21,7,1,2,17
445,1996,21,9,1,2,17
446,1996,21,11,1,2,17
447,1996,21,13,1,2,17
448,1996,21,15,1,2,17
449,1996,21,17,22,41,348
450,1996,21,19,1,2,17
451,1996,21,21,2746,7075,71950
452,1996,21,23,1,2,17
453,1996,21,25,1,2,17
454,1996,21,27,1,2,17
455,1996,21,29,1,2,17
456,1996,21,31,1,2,17
457,1996,21,33,1,2,17
458,1996,21,35,1,2,17
459,1996,21,37,1,2,17
460,1996,21,39,1,2,17
461,1996,21,41,1,2,17
462,1996,21,43,1,2,17
463,1996,21,45,1,2,17
464,1996,21,47,1,2,17
465,1996,21,49,1,2,17
466,1996,21,51,1,2,17
467,1996,21,53,1,2,17
468,1996,21,55,35,74,695
469,1996,21,57,1,2,17
470,1996,21,59,1,2,17
471,1996,21,61,1,2,17
472,1996,21,63,1,2,17
473,1996,21,65,1,2,17
474,1996,21,67,1,2,17
475,1996,21,69,1,2,17
476,1996,21,71,1,2,17
477,1996,21,73,1,2,17
478,1996,21,75,1,2,17
479,1996,21,77,1,2,17
480,1996,21,79,1,2,17
481,1996,21,81,1,2,17
482,1996,21,83,1,2,17
483,1996,21,85,1,2,17
484,1996,21,87,1,2,17
485,1996,23,1,1,2,15
486,1996,23,3,1,2,15
487,1996,23,5,1,2,15
488,1996,23,7,1,2,15
489,1996,23,9,1,2,15
490,1996,23,11,11,32,255
491,1996,23,13,1,2,15
492,1996,23,15,1,2,15
493,1996,23,17,1,2,15
494,1996,23,19,13,27,267
495,1996,23,21,1,2,15
496,1996,23,23,822,2288,23504
497,1996,23,25,1,2,15
498,1996,23,27,1,2,15
499,1996,23,29,1,2,15
500,1996,23,31,1,2,15
501,1996,23,33,1,2,15
502,1996,23,35,1,2,15
503,1996,23,37,1,2,15
504,1996,23,39,1,2,15
505,1996,23,41,1,2,15
506,1996,23,43,1,2,15
507,1996,23,45,1,2,15
508,1996,23,47,1,2,15
509,1996,23,49,1,2,15
510,1996,23,51,1,2,15
511,1996,23,53,1,2,15
512,1996,23,55,1,2,15
513,1996,23,57,1,2,15
514,1996,23,59,1,2,15
515,1996,23,61,1,2,15
516,1996,23,63,1,2,15
517,1996,23,65,1,2,15
518,1996,23,67,1,2,15
519,1996,23,69,1,2,15
520,1996,23,71,1,2,15
521,1996,23,73,1,2,15
522,1996,23,75,1,2,15
523,1996,23,77,1,2,15
524,1996,23,79,1,2,15
525,1996,23,81,1,2,15
526,1996,23,83,1,2,15
527,1996,23,85,1,2,15
528,1996,23,87,1,2,15
529,1996,25,1,1,1,4
530,1996,25,3,1,1,4
531,1996,25,5,1,1,4
532,1996,25,7,1,1,4
533,1996,25,9,1,1,4
534,1996,25,11,1,1,4
535,1996,25,13,1,1,4
536,1996,25,15,1,1,4
537,1996,25,17,1,1,4
538,1996,25,19,1,1,4
539,1996,25,21,1,1,4
540,1996,25,23,1,1,4
541,1996,25,25,288,680,7701
542,1996,25,27,1,1,4
543,1996,25,29,1,1,4
544,1996,25,31,1,1,4
545,1996,25,33,1,1,4
546,1996,25,35,1,1,4
547,1996,25,37,1,1,4
548,1996,25,39,1,1,4
549,1996,25,41,1,1,4
550,1996,25,43,1,1,4
551,1996,25,45,1,1,4
552,1996,25,47,1,1,4
553,1996,25,49,1,1,4
554,1996,25,51,1,1,4
555,1996,25,53,1,1,4
556,1996,25,55,1,1,4
557,1996,25,57,1,1,4
558,1996,25,59,1,1,4
559,1996,25,61,1,1,4
560,1996,25,63,1,1,4
561,1996,25,65,1,1,4
562,1996,25,67,1,1,4
563,1996,25,69,1,1,4
564,1996,25,71,1,1,4
565,1996,25,73,1,1,4
566,1996,25,75,1,1,4
567,1996,25,77,1,1,4
568,1996,25,79,1,1,4
569,1996,25,81,1,1,4
570,1996,25,83,1,1,4
571,1996,25,85,1,1,4
572,1996,25,87,1,1,4
573,1996,27,1,834,1610,21998
574,1996,27,3,3,6,53
575,1996,27,5,20,42,471
576,1996,27,7,3,6,53
577,1996,27,9,3,6,53
578,1996,27,11,3,6,53
579,1996,27,13,10,18,140
580,1996,27,15,15,35,378
581,1996,27,17,3,6,53
582,1996,27,19,12,25,219
583,1996,27,21,3,6,53
584,1996,27,23,3,6,53
585,1996,27,25,3,6,53
586,1996,27,27,32021,81111,1014464
587,1996,27,29,3,6,53
588,1996,27,31,3,6,53
589,1996,27,33,3,6,53
590,1996,27,35,3,6,53
591,1996,27,37,3,6,53
592,1996,27,39,20,52,418
593,1996,27,41,3,6,53
594,1996,27,43,3,6,53
595,1996,27,45,31,82,674
596,1996,27,47,3,6,53
597,1996,27,49,10,21,150
598,1996,27,51,3,6,53
599,1996,27,53,3,6,53
600,1996,27,55,10,29,378
601,1996,27,57,24,47,317
602,1996,27,59,3,6,53
603,1996,27,61,3,6,53
604,1996,27,63,3,6,53
605,1996,27,65,3,6,53
606,1996,27,67,3,6,53
607,1996,27,69,3,6,53
608,1996,27,71,3,6,53
609,1996,27,73,129,339,2593
610,1996,27,75,61,148,1643
611,1996,27,77,3,6,53
612,1996,27,79,3,6,53
613,1996,27,81,3,6,53
614,1996,27,83,37,74,968
615,1996,27,85,28,67,649
616,1996,27,87,20,48,391
617,1996,29,1,1,2,14
618,1996,29,3,1,2,14
619,1996,29,5,35,78,2563
620,1996,29,7,1,2,14
621,1996,29,9,1,2,14
622,1996,29,11,1,2,14
623,1996,29,13,1,2,14
624,1996,29,15,1,2,14
625,1996,29,17,1,2,14
626,1996,29,19,1,2,14
627,1996,29,21,1,2,14
628,1996,29,23,1,2,14
629,1996,29,25,1,2,14
630,1996,29,27,1,2,14
631,1996,29,29,2100,6146,73892
632,1996,29,31,1,2,14
633,1996,29,33,1,2,14
634,1996,29,35,1,2,14
635,1996,29,37,1,2,14
636,1996,29,39,1,2,14
637,1996,29,41,1,2,14
638,1996,29,43,1,2,14
639,1996,29,45,1,2,14
640,1996,29,47,1,2,14
641,1996,29,49,1,2,14
642,1996,29,51,1,2,14
643,1996,29,53,1,2,14
644,1996,29,55,1,2,14
645,1996,29,57,1,2,14
