id,year,countyfips,type,out_returns,out_exempt,out_agi,in_returns,in_exempt,in_agi
197,1997,87,diff_state,115,238,2224,156,364,3504
198,1998,1,same_state,2466,5144,74172,3144,5989,79692
199,1998,1,diff_state,4205,8246,154177,5870,12091,234412
200,1998,1,foreign,80,155,1933,92,159,2664
201,1998,3,same_state,94,188,2636,78,151,2550
202,1998,3,diff_state,45,80,1056,58,115,1978
203,1998,5,same_state,862,1917,20749,880,1815,18145
204,1998,5,diff_state,1237,2720,38285,1021,2329,32270
205,1998,5,foreign,15,29,306,36,57,402
206,1998,7,same_state,51,133,1290,34,77,1040
207,1998,7,diff_state,94,202,1889,84,209,2495
208,1998,9,same_state,102,209,2471,93,214,2598
209,1998,9,diff_state,132,275,3194,144,321,3268
210,1998,11,same_state,643,1481,14989,508,1273,13413
211,1998,11,diff_state,424,972,10927,340,887,9746
212,1998,13,same_state,242,494,6566,189,362,4382
213,1998,13,diff_state,467,715,14237,484,720,45072
214,1998,15,same_state,127,270,3719,127,271,4428
215,1998,15,diff_state,61,135,1681,74,167,2086
216,1998,17,same_state,270,544,5786,267,619,6860
217,1998,17,diff_state,687,1346,18462,822,1604,26878
218,1998,19,same_state,897,2156,25010,817,1831,19528
219,1998,19,diff_state,1071,2458,37343,995,2473,36384
220,1998,19,foreign,20,30,1115,14,33,284
221,1998,21,same_state,87,205,1879,67,133,1279
222,1998,21,diff_state,174,385,4119,171,372,4640
223,1998,23,same_state,58,137,1291,41,90,816
224,1998,23,diff_state,34,75,737,28,67,907
225,1998,25,same_state,0,0,0,22,51,625
226,1998,25,diff_state,0,0,0,10,13,163
227,1998,27,same_state,1463,3042,36320,1863,4106,52895
228,1998,27,diff_state,1212,2751,28181,1502,3483,41388
229,1998,27,foreign,22,31,364,0,0,0
230,1998,29,same_state,55,117,1360,66,155,1971
231,1998,29,diff_state,92,213,2703,88,235,2906
232,1998,31,same_state,426,1046,9646,316,823,7006
233,1998,31,diff_state,322,731,7319,197,496,4525
234,1998,33,same_state,0,0,0,25,77,561
235,1998,33,diff_state,0,0,0,18,42,306
236,1998,35,same_state,153,309,3465,96,225,2150
237,1998,35,diff_state,116,257,3092,120,255,3865
238,1998,37,same_state,80,170,2058,59,132,1675
239,1998,37,diff_state,100,229,3319,63,130,2203
240,1998,39,same_state,364,748,8127,227,523,5065
241,1998,39,diff_state,700,1756,20782,922,2056,21331
242,1998,39,foreign,183,484,4090,177,500,4565
243,1998,41,same_state,44,99,1287,46,122,1072
244,1998,41,diff_state,175,379,3822,192,497,4764
245,1998,43,same_state,184,424,4268,158,409,3670
246,1998,43,diff_state,164,352,3670,149,362,3776
247,1998,45,same_state,232,494,5651,250,563,7056
248,1998,45,diff_state,105,258,2450,179,457,5606
249,1998,47,same_state,265,595,5037,213,561,4548
250,1998,47,diff_state,133,308,2387,124,252,2627
251,1998,49,same_state,228,452,4791,130,303,3383
252,1998,49,diff_state,188,375,4330,213,505,6277
253,1998,51,same_state,322,801,8305,306,836,8844
254,1998,51,diff_state,173,403,3261,147,416,3871
255,1998,53,same_state,388,913,8756,414,1067,8546
256,1998,53,diff_state,206,507,4557,210,515,4960
257,1998,55,same_state,584,1217,14301,733,1526,19242
258,1998,55,diff_state,1959,3808,51338,2438,5000,85221
259,1998,55,foreign,28,54,475,30,51,4050
260,1998,57,same_state,500,955,10165,460,799,8611
261,1998,57,diff_state,1005,1816,24123,735,1250,17966
262,1998,57,foreign,24,36,491,71,83,518
263,1998,59,same_state,79,169,1593,66,138,1658
264,1998,59,diff_state,126,268,3404,117,233,3491
265,1998,61,same_state,93,214,2114,80,190,1952
266,1998,61,diff_state,64,138,1422,62,126,1552
267,1998,63,same_state,0,0,0,100,261,2345
268,1998,63,diff_state,0,0,0,41,93,825
269,1998,65,same_state,289,682,5785,213,555,5336
270,1998,65,diff_state,385,792,5577,260,632,5712
