state,county,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
16,19,Idaho,Bonneville County,2010,104675,52230,52445,10011,5179,4832,75058,36994,38064,71749,35279,36470,11494,5086,6408,1625,581,1044,31.700001,31,32.5
16,19,Idaho,Bonneville County,2011,105813,52703,53110,10016,5078,4938,75900,37415,38485,72602,35749,36853,11779,5242,6537,1696,615,1081,31.9,31.299999,32.5
16,19,Idaho,Bonneville County,2012,106764,53107,53657,9813,4998,4815,76505,37652,38853,73281,36017,37264,12161,5492,6669,1696,631,1065,32,31.5,32.599998
16,19,Idaho,Bonneville County,2013,107369,53324,54045,9663,4826,4837,76903,37821,39082,73633,36154,37479,12609,5709,6900,1709,639,1070,32.099998,31.700001,32.599998
16,19,Idaho,Bonneville County,2014,108236,53745,54491,9422,4693,4729,77678,38274,39404,74284,36509,37775,13083,5967,7116,1711,657,1054,32.400002,31.9,32.900002
16,19,Idaho,Bonneville County,2015,109849,54620,55229,9471,4709,4762,78924,38910,40014,75465,37083,38382,13606,6219,7387,1774,678,1096,32.599998,32.099998,33.200001
16,19,Idaho,Bonneville County,2016,112118,55827,56291,9636,4879,4757,80768,39906,40862,77187,38072,39115,14235,6554,7681,1810,681,1129,32.700001,32.200001,33.200001
16,19,Idaho,Bonneville County,2017,114488,57061,57427,9682,4942,4740,82762,40909,41853,79032,39022,40010,14841,6857,7984,1817,711,1106,32.799999,32.400002,33.299999
16,19,Idaho,Bonneville County,2018,116444,58165,58279,9731,5065,4666,84503,41813,42690,80747,39919,40828,15465,7147,8318,1798,703,1095,33,32.400002,33.599998
16,19,Idaho,Bonneville County,2019,119062,59452,59610,9937,5123,4814,86751,42943,43808,82945,41030,41915,16112,7427,8685,1778,703,1075,33,32.400002,33.599998
16,21,Idaho,Boundary County,2010c,10972,5549,5423,687,352,335,8523,4288,4235,8160,4101,4059,1832,936,896,213,72,141,42.799999,42.400002,43.200001
16,21,Idaho,Boundary County,2010b,10972,5549,5423,687,352,335,8523,4288,4235,8160,4101,4059,1832,936,896,213,72,141,42.799999,42.400002,43.200001
16,21,Idaho,Boundary County,2010,10999,5563,5436,682,348,334,8545,4299,4246,8189,4117,4072,1838,944,894,213,72,141,42.700001,42.299999,43
16,21,Idaho,Boundary County,2011,10823,5476,5347,619,328,291,8493,4275,4218,8160,4102,4058,1920,974,946,228,76,152,43.400002,43,43.799999
16,21,Idaho,Boundary County,2012,10817,5470,5347,599,323,276,8547,4293,4254,8210,4111,4099,2026,1022,1004,227,70,157,43.900002,43.099998,44.5
16,21,Idaho,Boundary County,2013,10853,5502,5351,595,319,276,8615,4345,4270,8277,4168,4109,2135,1083,1052,227,65,162,44.400002,43.5,45.099998
16,21,Idaho,Boundary County,2014,10956,5529,5427,603,317,286,8762,4403,4359,8425,4226,4199,2212,1123,1089,234,79,155,44.700001,43.900002,45.5
16,21,Idaho,Boundary County,2015,11299,5700,5599,687,356,331,8991,4516,4475,8632,4332,4300,2294,1164,1130,240,87,153,44.299999,43.200001,45.099998
16,21,Idaho,Boundary County,2016,11701,5874,5827,777,407,370,9295,4641,4654,8929,4459,4470,2392,1214,1178,249,92,157,43.700001,43,44.5
16,21,Idaho,Boundary County,2017,11965,5997,5968,799,431,368,9505,4729,4776,9136,4551,4585,2514,1281,1233,257,97,160,43.900002,43.099998,44.599998
16,21,Idaho,Boundary County,2018,12016,6040,5976,745,393,352,9558,4784,4774,9225,4614,4611,2692,1362,1330,272,102,170,44.700001,43.900002,45.5
16,21,Idaho,Boundary County,2019,12245,6146,6099,789,396,393,9769,4879,4890,9429,4707,4722,2825,1424,1401,279,97,182,44.599998,44,45.400002
16,23,Idaho,Butte County,2010c,2891,1485,1406,214,109,105,2175,1106,1069,2076,1055,1021,506,251,255,56,22,34,41.700001,41.200001,42.400002
16,23,Idaho,Butte County,2010b,2893,1486,1407,214,109,105,2177,1107,1070,2078,1056,1022,507,252,255,56,22,34,41.799999,41.299999,42.5
16,23,Idaho,Butte County,2010,2915,1496,1419,225,114,111,2188,1114,1074,2088,1063,1025,513,255,258,59,24,35,41.400002,40.900002,41.799999
16,23,Idaho,Butte County,2011,2833,1448,1385,184,88,96,2164,1104,1060,2056,1046,1010,525,260,265,60,26,34,42.700001,42.400002,42.900002
16,23,Idaho,Butte County,2012,2760,1406,1354,178,88,90,2138,1089,1049,2040,1030,1010,549,284,265,58,24,34,43.200001,42.700001,43.599998
16,23,Idaho,Butte County,2013,2667,1372,1295,165,84,81,2070,1072,998,1992,1022,970,557,294,263,54,23,31,43.900002,43.5,44.299999
16,23,Idaho,Butte County,2014,2658,1351,1307,160,79,81,2067,1065,1002,1984,1017,967,558,294,264,58,23,35,43.700001,43.799999,43.700001
16,23,Idaho,Butte County,2015,2566,1302,1264,148,77,71,2017,1023,994,1933,983,950,570,303,267,61,27,34,44.099998,43.900002,44.400002
