state,county,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,median_age_tot,median_age_male,median_age_fem
16,15,Idaho,Boise County,2013,6720,3456,3264,211,123,88,669,346,323,412,210,202,348,165,183,1133,565,568,2556,1269,1287,1391,778,613,51.299999,51.799999,50.700001
16,15,Idaho,Boise County,2014,6779,3507,3272,220,119,101,646,343,303,391,206,185,360,168,192,1147,578,569,2553,1275,1278,1462,818,644,51.799999,52.400002,51.200001
16,15,Idaho,Boise County,2015,6963,3587,3376,222,125,97,631,347,284,399,206,193,368,176,192,1163,562,601,2578,1282,1296,1602,889,713,52.5,53.099998,51.799999
16,15,Idaho,Boise County,2016,7095,3691,3404,241,139,102,617,342,275,366,184,182,390,210,180,1217,589,628,2550,1266,1284,1714,961,753,52.900002,53.299999,52.5
16,15,Idaho,Boise County,2017,7347,3807,3540,274,150,124,629,332,297,377,210,167,378,191,187,1298,626,672,2593,1295,1298,1798,1003,795,52.900002,53.700001,52.200001
16,15,Idaho,Boise County,2018,7655,3979,3676,276,153,123,623,350,273,392,210,182,387,194,193,1392,670,722,2654,1329,1325,1931,1073,858,52.900002,53.599998,52.400002
16,15,Idaho,Boise County,2019,7831,4076,3755,279,148,131,615,336,279,386,208,178,395,207,188,1419,694,725,2679,1332,1347,2058,1151,907,53.299999,54.099998,52.700001
16,17,Idaho,Bonner County,2010c,40877,20592,20285,2142,1106,1036,4516,2335,2181,2192,1108,1084,2537,1332,1205,8612,4366,4246,13869,6868,7001,7009,3477,3532,45.799999,45.200001,46.299999
16,17,Idaho,Bonner County,2010b,40877,20592,20285,2142,1106,1036,4516,2335,2181,2192,1108,1084,2537,1332,1205,8612,4366,4246,13869,6868,7001,7009,3477,3532,45.799999,45.200001,46.299999
16,17,Idaho,Bonner County,2010,40902,20597,20305,2134,1114,1020,4518,2331,2187,2188,1103,1085,2547,1328,1219,8598,4353,4245,13851,6864,6987,7066,3504,3562,45.900002,45.299999,46.400002
16,17,Idaho,Bonner County,2011,40782,20479,20303,2066,1072,994,4423,2251,2172,2164,1083,1081,2515,1307,1208,8524,4296,4228,13740,6797,6943,7350,3673,3677,46.5,46,46.900002
16,17,Idaho,Bonner County,2012,40347,20243,20104,2014,1038,976,4292,2214,2078,2115,1063,1052,2542,1311,1231,8185,4083,4102,13461,6645,6816,7738,3889,3849,47.200001,46.700001,47.599998
16,17,Idaho,Bonner County,2013,40525,20255,20270,1962,967,995,4228,2202,2026,2142,1062,1080,2577,1332,1245,8197,4084,4113,13214,6486,6728,8205,4122,4083,47.5,47.099998,48
