sfips,returns_out,indiv_out,agi_out,year,returns_in,indiv_in,agi_in
42,138538,227164,13363710,2022,123288,204737,10606178
44,15283,26553,925640,2014,13158,22556,768515
44,11913,19457,824190,2015,9970,16670,768514
44,15702,26986,1068284,2016,13744,23300,886142
44,20477,35556,1441224,2017,18868,31974,1282488
44,16477,27606,1227958,2018,15438,25557,1067917
44,16296,26662,1189425,2019,15131,24803,1097961
44,17086,28656,1260283,2020,17421,28718,1557751
44,17510,28722,1395352,2021,17554,27746,1581710
44,19274,30793,1807791,2022,17719,27632,1677374
45,56978,111343,2706452,2014,70671,141698,4406095
45,42847,78749,1981736,2015,52710,99919,3106093
45,56987,108587,3035157,2016,75432,148885,5292113
45,76341,147712,4327184,2017,105900,212503,7677723
45,61948,115117,3553785,2018,82094,159978,6030895
45,60858,112089,3599891,2019,80443,154022,6169028
45,64755,121891,4085176,2020,89831,176225,7678710
45,68142,121372,4366331,2021,98164,186217,8563782
45,69164,119964,5048515,2022,102151,190737,9816931
46,12935,24221,581213,2014,12525,23833,662391
46,9330,16531,486535,2015,9358,16940,518713
46,12246,23022,629519,2016,12503,23940,683609
46,16117,30708,855125,2017,16501,31692,978262
46,12673,23225,683314,2018,12791,24048,777297
46,12664,23095,709737,2019,12852,23505,865063
46,13521,25195,818333,2020,14544,27919,1028694
46,13082,23376,781056,2021,16178,29697,1233797
46,13354,23499,894909,2022,16959,30577,1483965
47,73297,147352,3604559,2014,81530,163902,4469073
47,54803,104401,2640688,2015,62130,118230,3220955
47,72923,142546,4034272,2016,86103,168704,5331925
47,97460,193648,5681278,2017,119591,238655,7456725
47,77984,149277,4517368,2018,95122,182055,6069566
47,75768,142907,4511496,2019,93720,177062,6407229
47,82191,157403,5150788,2020,104102,202867,7800496
47,84663,153958,5338835,2021,115085,216262,9487784
47,88672,158166,6573064,2022,119731,219125,11235900
48,202495,411911,12341640,2014,308792,643075,17255260
48,195322,381936,10390594,2015,224302,446245,14003750
48,235888,472140,15449095,2016,254576,527254,17725256
48,281167,571981,19129057,2017,320457,670379,22275562
48,221933,436619,14894194,2018,257704,517226,18321533
48,209058,402285,15596210,2019,261578,517103,19574924
48,222046,437095,16655689,2020,285654,573269,23070105
48,230884,428595,16867693,2021,314634,605888,27808737
48,243258,441206,21724053,2022,332148,624552,31930064
49,32108,72689,1639423,2014,31181,69959,1844850
49,22938,48493,1239473,2015,24263,49892,1325354
49,31074,68282,1753925,2016,35303,78498,2356639
49,42005,93647,2509861,2017,46789,105853,3198215
49,34016,72235,2040036,2018,37647,79818,2676999
49,33932,70391,2190888,2019,37802,76721,2882861
49,36594,77703,2554265,2020,43455,95012,3815704
49,39125,78398,2737717,2021,46156,91471,4374814
49,43409,84275,3664985,2022,45475,84443,4753577
50,10011,15952,577168,2014,8996,14667,480779
50,7620,11479,456129,2015,6813,10396,410220
50,10520,16733,611510,2016,9505,15007,579620
50,13333,21457,800677,2017,13011,21493,842684
50,10509,16217,619687,2018,9882,15698,638967
50,10442,16337,694191,2019,9610,14994,665660
50,10426,16378,691179,2020,11883,19509,1139630
50,10726,16419,762230,2021,12212,19462,1127384
50,11362,17246,899643,2022,11733,18583,1170133
51,131340,257689,8718819,2014,118828,232128,7418424
51,91471,166333,5900661,2015,90039,166760,5391196
51,131409,254059,9748086,2016,122390,236585,8176151
51,175334,347870,13482589,2017,165657,325274,11576511
51,133841,251281,10405256,2018,129824,244815,9128761
51,128972,239266,10416827,2019,126506,235580,9266741
51,137121,261697,11589005,2020,134183,254345,10524599
51,137376,251896,12916310,2021,135642,244672,11083778
51,140319,248474,14110281,2022,137549,243981,12018533
53,85001,167489,4951070,2014,101663,194560,5927334
53,62280,114931,3639132,2015,78809,143550,4731451
53,84895,163214,5584336,2016,114992,216550,7815170
53,119983,235808,8283429,2017,155879,294189,11104415
53,98348,184845,7097115,2018,120440,214899,8814880
53,96515,177352,8029989,2019,117741,207255,9142739
53,107352,204767,9038589,2020,121241,214193,10292167
53,118704,220998,11133976,2021,122946,207562,11334033
53,123800,225564,14721080,2022,127432,207697,13081890
54,19488,36953,888648,2014,17208,33216,776639
54,14869,26816,666625,2015,12771,23705,535482
54,19900,37126,1039738,2016,16272,31028,805475
54,26231,49887,1406288,2017,21438,41539,1093754
54,20280,37125,1070271,2018,17499,32932,875268
54,19784,36077,1103984,2019,16833,30778,891498
54,20099,37102,1145858,2020,19624,36800,1077000
54,20035,35179,1132964,2021,20722,37242,1166115
54,20152,34558,1298203,2022,20596,36545,1254186
55,50390,91205,2860171,2014,43497,80756,2338486
55,36700,62453,2176122,2015,31000,54911,1626394
55,51233,90978,3281222,2016,45810,83763,2802920
55,67424,120897,4493987,2017,65508,121555,4119324
55,51787,89383,3478067,2018,50191,89938,3135446
55,50791,85898,3525787,2019,48205,84638,3280985
55,53740,94325,3960512,2020,53360,94959,3843449
55,55370,92682,4153344,2021,54459,92137,4091933
55,56923,92345,4840663,2022,55879,93145,4529718
56,13960,27037,701309,2014,12911,25533,768673
56,9834,18079,552467,2015,9585,18277,774037
56,13203,25606,723815,2016,11283,21957,831195
56,17651,35249,1054148,2017,13075,26032,974843
56,12082,23201,710547,2018,11251,21442,775445
56,11457,21490,747871,2019,11490,21908,969506
56,12571,24309,865352,2020,12991,25813,1728591
56,12554,23061,826727,2021,13617,25154,1375248
56,12423,22166,1071783,2022,13521,24705,2055745
