county,year,units
Boise County,2017,5532
Boise County,2018,5602
Boise County,2019,5697
Bonner County,2010,24671
Bonner County,2011,24687
Bonner County,2012,24736
Bonner County,2013,24807
Bonner County,2014,24869
Bonner County,2015,24924
Bonner County,2016,24985
Bonner County,2017,25114
Bonner County,2018,25251
Bonner County,2019,25360
Bonneville County,2010,39784
Bonneville County,2011,40091
Bonneville County,2012,40298
Bonneville County,2013,40607
Bonneville County,2014,41036
Bonneville County,2015,41415
Bonneville County,2016,42111
Bonneville County,2017,42794
Bonneville County,2018,43757
Bonneville County,2019,44564
Boundary County,2010,5186
Boundary County,2011,5214
Boundary County,2012,5239
Boundary County,2013,5273
Boundary County,2014,5311
Boundary County,2015,5361
Boundary County,2016,5410
Boundary County,2017,5460
Boundary County,2018,5523
Boundary County,2019,5591
Butte County,2010,1357
Butte County,2011,1358
Butte County,2012,1362
Butte County,2013,1364
Butte County,2014,1367
Butte County,2015,1372
Butte County,2016,1374
Butte County,2017,1379
Butte County,2018,1380
Butte County,2019,1381
Camas County,2010,831
Camas County,2011,835
Camas County,2012,841
Camas County,2013,843
Camas County,2014,844
Camas County,2015,847
Camas County,2016,850
Camas County,2017,855
Camas County,2018,863
Camas County,2019,875
Canyon County,2010,69505
Canyon County,2011,69850
Canyon County,2012,70168
Canyon County,2013,71009
Canyon County,2014,71998
Canyon County,2015,73095
Canyon County,2016,74211
Canyon County,2017,76048
Canyon County,2018,77818
Canyon County,2019,80055
Caribou County,2010,3230
Caribou County,2011,3236
Caribou County,2012,3243
Caribou County,2013,3250
Caribou County,2014,3257
Caribou County,2015,3264
Caribou County,2016,3274
Caribou County,2017,3284
Caribou County,2018,3303
Caribou County,2019,3333
Cassia County,2010,8383
Cassia County,2011,8418
Cassia County,2012,8448
Cassia County,2013,8484
Cassia County,2014,8543
Cassia County,2015,8586
Cassia County,2016,8684
Cassia County,2017,8755
Cassia County,2018,8832
Cassia County,2019,8925
Clark County,2010,534
Clark County,2011,536
Clark County,2012,538
Clark County,2013,543
Clark County,2014,543
Clark County,2015,547
Clark County,2016,554
Clark County,2017,554
Clark County,2018,559
Clark County,2019,562
Clearwater County,2010,4460
Clearwater County,2011,4480
Clearwater County,2012,4500
Clearwater County,2013,4515
Clearwater County,2014,4550
Clearwater County,2015,4569
Clearwater County,2016,4589
Clearwater County,2017,4619
Clearwater County,2018,4641
Clearwater County,2019,4668
Custer County,2010,3105
Custer County,2011,3117
Custer County,2012,3120
Custer County,2013,3128
Custer County,2014,3129
Custer County,2015,3129
Custer County,2016,3133
Custer County,2017,3134
Custer County,2018,3138
Custer County,2019,3161
Elmore County,2010,12186
Elmore County,2011,12221
Elmore County,2012,12235
Elmore County,2013,12281
