county,year,female_1544,popestimate,total_births,br_crude,br
Power County,2019,1370,7681,118,15.362583,86.131386
Shoshone County,2019,1962,12882,134,10.402111,68.297653
Teton County,2019,2285,12142,123,10.130127,53.829323
Twin Falls County,2019,17226,86878,1212,13.950598,70.358757
Valley County,2019,1673,11392,87,7.6369381,52.002392
Washington County,2019,1522,10194,80,7.8477535,52.562416
Ada County,2020,100172,498278,4877,9.7877092,48.68626
Adams County,2020,539,4428,39,8.8075876,72.356216
Bannock County,2020,18221,87276,1048,12.007883,57.516052
Bear Lake County,2020,1042,6367,84,13.193027,80.614204
Benewah County,2020,1405,9576,107,11.173768,76.156586
Bingham County,2020,9202,48097,618,12.849034,67.159309
Blaine County,2020,3974,24348,166,6.8178086,41.771515
Boise County,2020,1020,7664,41,5.3496866,40.196079
Bonner County,2020,6942,47403,398,8.3960934,57.33218
Bonneville County,2020,24913,124737,1779,14.262008,71.408501
Boundary County,2020,1870,12139,147,12.109729,78.609627
Butte County,2020,413,2584,29,11.22291,70.217918
Camas County,2020,176,1084,10,9.2250919,56.81818
Canyon County,2020,47135,233013,3197,13.720264,67.826454
Caribou County,2020,1220,7013,96,13.688864,78.688522
Cassia County,2020,4644,24760,384,15.508885,82.68734
Clark County,2020,145,792,9,11.363636,62.068966
Clearwater County,2020,1065,8750,73,8.3428574,68.544601
Custer County,2020,541,4271,30,7.024116,55.452866
Elmore County,2020,5609,28669,421,14.684852,75.057945
Franklin County,2020,2668,14282,207,14.493769,77.586205
Fremont County,2020,2376,13419,155,11.550786,65.235687
Gem County,2020,3090,19272,208,10.79286,67.313919
Gooding County,2020,2733,15649,166,10.607707,60.739113
Idaho County,2020,2121,16594,121,7.2917924,57.048561
Jefferson County,2020,5992,31080,444,14.285714,74.098801
Jerome County,2020,4525,24270,334,13.761846,73.812157
Kootenai County,2020,31090,172785,1832,10.602772,58.925701
Latah County,2020,9624,39638,419,10.570664,43.536991
Lemhi County,2020,1098,7962,53,6.6566191,48.269581
Lewis County,2020,515,3527,42,11.908137,81.553398
Lincoln County,2020,976,5134,56,10.907675,57.377048
Madison County,2020,21001,52928,1086,20.51844,51.711823
Minidoka County,2020,3961,21668,270,12.460772,68.164604
Nez Perce County,2020,7625,42145,448,10.629968,58.754097
Oneida County,2020,753,4566,37,8.1033726,49.136787
Owyhee County,2020,2102,11996,140,11.670557,66.603233
Payette County,2020,4413,25590,320,12.504885,72.513031
Power County,2020,1385,7879,86,10.915091,62.093864
Shoshone County,2020,1977,13199,147,11.137207,74.35508
Teton County,2020,2219,11735,127,10.822327,57.232986
Twin Falls County,2020,17961,90372,1105,12.227239,61.522186
Valley County,2020,1761,11842,87,7.3467321,49.403748
Washington County,2020,1614,10558,97,9.1873465,60.099133
Ada County,2021,103344,513025,5080,9.9020519,49.156216
Adams County,2021,561,4623,26,5.6240535,46.34581
Bannock County,2021,18639,88515,1102,12.449867,59.123344
Bear Lake County,2021,1079,6567,78,11.877569,72.289154
Benewah County,2021,1478,9895,80,8.0848913,54.127197
Bingham County,2021,9483,48929,685,13.999877,72.234528
Blaine County,2021,4043,24782,205,8.2721329,50.704922
Boise County,2021,1129,8133,65,7.9921308,57.573074
Bonner County,2021,7360,49633,452,9.1068439,61.413044
Bonneville County,2021,25771,128064,1820,14.211644,70.622017
Boundary County,2021,1974,12620,146,11.568938,73.961502
Butte County,2021,428,2666,35,13.128283,81.775703
Camas County,2021,171,1137,13,11.433598,76.023392
Canyon County,2021,49726,243710,3257,13.364244,65.498932
Caribou County,2021,1257,7109,87,12.238008,69.21241
Cassia County,2021,4746,25244,380,15.053082,80.067429
Clark County,2021,140,793,19,23.959646,135.71428
Clearwater County,2021,1054,8925,71,7.9551821,67.362427
Custer County,2021,588,4446,29,6.522717,49.319729
Elmore County,2021,5650,28978,451,15.563531,79.823006
