SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,NPOPCHG_2008,NPOPCHG_2009,PPOPCHG_2000,PPOPCHG_2001,PPOPCHG_2002,PPOPCHG_2003,PPOPCHG_2004,PPOPCHG_2005,PPOPCHG_2006,PPOPCHG_2007,PPOPCHG_2008,PPOPCHG_2009,SRANK_ESTBASE2000,SRANK_POPEST2000,SRANK_POPEST2001,SRANK_POPEST2002,SRANK_POPEST2003,SRANK_POPEST2004,SRANK_POPEST2005,SRANK_POPEST2006,SRANK_POPEST2007,SRANK_POPEST2008,SRANK_POPEST2009,SRANK_NPCHG2000,SRANK_NPCHG2001,SRANK_NPCHG2002,SRANK_NPCHG2003,SRANK_NPCHG2004,SRANK_NPCHG2005,SRANK_NPCHG2006,SRANK_NPCHG2007,SRANK_NPCHG2008,SRANK_NPCHG2009,SRANK_PPCHG2000,SRANK_PPCHG2001,SRANK_PPCHG2002,SRANK_PPCHG2003,SRANK_PPCHG2004,SRANK_PPCHG2005,SRANK_PPCHG2006,SRANK_PPCHG2007,SRANK_PPCHG2008,SRANK_PPCHG2009
050,4,8,16,029,Idaho,Caribou County,7304,7302,7342,7169,7106,7103,6953,6873,6859,6839,6914,-2,40,-173,-63,-3,-150,-80,-14,-20,75,-0.027382256,0.5477951246,-2.356306184,-0.878783652,-0.042217844,-2.111783753,-1.150582482,-0.203695621,-0.291587695,1.0966515572,33,33,33,33,34,35,35,35,35,35,35,27,23,41,38,33,42,42,39,41,22,27,20,42,36,33,44,42,38,41,16
050,4,8,16,031,Idaho,Cassia County,21416,21393,21475,21336,21195,20967,20919,20747,20959,21447,21698,-23,82,-139,-141,-228,-48,-172,212,488,251,-0.107396339,0.3833029496,-0.647264261,-0.660854893,-1.075725407,-0.228931178,-0.822219035,1.0218344821,2.3283553605,1.1703268522,13,13,13,13,14,15,16,16,16,16,16,35,17,40,40,43,37,43,18,13,13,30,21,35,33,41,33,41,22,9,15
050,4,8,16,033,Idaho,Clark County,1022,1024,964,945,886,915,914,934,935,963,952,2,-60,-19,-59,29,-1,20,1,28,-11,0.1956947162,-5.859375,-1.970954357,-6.243386243,3.2731376975,-0.109289617,2.1881838074,0.1070663812,2.9946524064,-1.142263759,43,43,44,44,44,44,44,44,44,44,44,24,32,31,36,28,31,33,35,35,32,19,44,39,44,4,31,14,35,3,38
050,4,8,16,035,Idaho,Clearwater County,8930,8886,8577,8395,8336,8271,8246,8286,8228,8155,8043,-44,-309,-182,-59,-65,-25,40,-58,-73,-112,-0.492721165,-3.477380149,-2.121954063,-0.702799285,-0.77975048,-0.302260912,0.4850836769,-0.699975863,-0.88721439,-1.373390558,29,29,29,29,29,29,29,30,31,31,31,39,41,42,36,39,34,29,42,44,39,40,42,40,35,38,34,29,43,44,41
050,4,8,16,037,Idaho,Custer County,4342,4336,4213,4123,4084,4083,4022,4077,4108,4196,4240,-6,-123,-90,-39,-1,-61,55,31,88,44,-0.138185168,-2.836715867,-2.136244956,-0.94591317,-0.024485798,-1.49399951,1.3674788662,0.760363012,2.1421616358,1.0486177312,37,37,37,38,38,38,39,39,39,38,38,28,37,37,33,32,38,27,31,25,25,31,41,41,37,32,41,19,29,11,18
050,4,8,16,039,Idaho,Elmore County,29130,29087,29188,29307,28888,29074,28603,28391,28996,29143,28820,-43,101,119,-419,186,-471,-212,605,147,-323,-0.147614143,0.3472341596,0.4077017953,-1.429692565,0.6438659651,-1.620004127,-0.741180995,2.1309569934,0.5069664781,-1.1083279,11,11,11,12,12,12,12,12,12,12,12,38,16,16,44,17,44,44,9,21,44,33,22,21,42,23,42,40,14,32,37
050,4,8,16,041,Idaho,Franklin County,11329,11348,11450,11660,11674,11901,12008,12003,12182,12489,12676,19,102,210,14,227,107,-5,179,307,187,0.1677111837,0.8988367994,1.8340611354,0.1200686106,1.9444920336,0.8990841106,-0.041638907,1.4912938432,2.5201116401,1.4973176395,24,24,24,24,24,24,24,24,24,24,23,19,15,13,25,13,22,37,19,16,17,20,15,11,26,12,21,37,20,8,9
050,4,8,16,043,Idaho,Fremont County,11819,11788,11857,11935,12205,12410,12321,12424,12596,12651,12691,-31,69,78,270,205,-89,103,172,55,40,-0.262289534,0.5853410248,0.6578392511,2.2622538752,1.679639492,-0.717163578,0.8359711062,1.3844172569,0.4366465545,0.3161805391,23,23,23,23,23,23,23,23,23,23,22,36,20,18,14,15,39,23,21,30,26,36,19,19,7,13,39,26,21,34,27
050,4,8,16,045,Idaho,Gem County,15181,15211,15344,15394,15544,15723,16043,16312,16472,16511,16437,30,133,50,150,179,320,269,160,39,-74,0.1976154404,0.8743672342,0.3258602711,0.9744056126,1.1515697375,2.035235006,1.6767437512,0.9808729769,0.2367654201,-0.448186058,20,20,20,19,19,19,19,19,19,19,19,17,13,20,18,19,13,16,22,33,37,18,16,24,18,19,11,16,23,38,34
050,4,8,16,047,Idaho,Gooding County,14158,14205,14138,14174,14213,14202,14159,14197,14328,14487,14430,47,-67,36,39,-11,-43,38,131,159,-57,0.3319677921,-0.471664907,0.2546329042,0.2751516862,-0.077393935,-0.302774257,0.2683805353,0.9227301543,1.1097152429,-0.393456202,21,21,21,21,21,21,21,21,21,21,21,14,34,24,24,35,36,30,24,20,36,12,30,26,23,34,35,33,24,22,33
050,4,8,16,049,Idaho,Idaho County,15511,15450,15366,15339,15186,15262,15161,15209,15268,15330,15461,-61,-84,-27,-153,76,-101,48,59,62,131,-0.393269293,-0.54368932,-0.175712612,-0.997457461,0.5004609509,-0.661774342,0.3166018073,0.3879282004,0.4060780718,0.8545335943,19,19,19,20,20,20,20,20,20,20,20,42,36,32,41,23,40,28,29,27,18,38,31,31,38,24,38,31,32,35,21
