"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"85+ years"	"85+"	Suppressed	105	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"< 1 year"	"1"	Suppressed	32	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"1-4 years"	"1-4"	0	140	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"5-14 years"	"5-14"	0	430	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"15-24 years"	"15-24"	0	365	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"25-34 years"	"25-34"	Suppressed	391	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"35-44 years"	"35-44"	0	404	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"45-54 years"	"45-54"	Suppressed	447	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"55-64 years"	"55-64"	Suppressed	862	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"65-74 years"	"65-74"	12	891	Unreliable	695.9	2352.6	388.8	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"75-84 years"	"75-84"	17	382	Unreliable	2592.5	7125.3	1079.3	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"85+ years"	"85+"	Suppressed	103	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020 "	"2020"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"< 1 year"	"1"	Suppressed	1292	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	4823	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"5-14 years"	"5-14"	Suppressed	11564	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"15-24 years"	"15-24"	11	14769	Unreliable	37.2	133.3	22.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"25-34 years"	"25-34"	10	10186	Unreliable	47.1	180.5	31.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"35-44 years"	"35-44"	20	10436	191.6	117.1	296.0	42.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"45-54 years"	"45-54"	36	9362	384.5	269.3	532.4	64.1	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"55-64 years"	"55-64"	52	5487	947.7	707.8	1242.8	131.4	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"65-74 years"	"65-74"	114	3940	2893.4	2362.3	3424.5	271.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"75-84 years"	"75-84"	169	2728	6195.0	5261.0	7129.0	476.5	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"85+ years"	"85+"	174	940	18510.6	15760.2	21261.1	1403.3	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"< 1 year"	"1"	Suppressed	1285	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"1-4 years"	"1-4"	Suppressed	4830	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"5-14 years"	"5-14"	Suppressed	11356	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"15-24 years"	"15-24"	Suppressed	14781	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"25-34 years"	"25-34"	Suppressed	10326	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"35-44 years"	"35-44"	20	10190	196.3	119.9	303.1	43.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"45-54 years"	"45-54"	40	9571	417.9	298.6	569.1	66.1	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"55-64 years"	"55-64"	58	5564	1042.4	791.5	1347.6	136.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"65-74 years"	"65-74"	92	3948	2330.3	1878.5	2857.9	242.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"75-84 years"	"75-84"	152	2750	5527.3	4648.6	6406.0	448.3	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"85+ years"	"85+"	167	964	17323.7	14696.2	19951.1	1340.5	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2000"	"2000"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"< 1 year"	"1"	Suppressed	1391	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"1-4 years"	"1-4"	Suppressed	4901	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"5-14 years"	"5-14"	Suppressed	11269	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"15-24 years"	"15-24"	Suppressed	15250	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"25-34 years"	"25-34"	Suppressed	10158	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"35-44 years"	"35-44"	22	9905	222.1	139.2	336.3	47.4	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"45-54 years"	"45-54"	32	9966	321.1	219.6	453.3	56.8	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"55-64 years"	"55-64"	51	5712	892.9	664.8	1173.9	125.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"65-74 years"	"65-74"	111	3976	2791.8	2272.4	3311.1	265.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"75-84 years"	"75-84"	162	2833	5718.3	4837.7	6598.9	449.3	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"85+ years"	"85+"	169	935	18074.9	15349.7	20800.0	1390.4	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2001"	"2001"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"< 1 year"	"1"	Suppressed	1363	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"1-4 years"	"1-4"	0	4933	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"5-14 years"	"5-14"	Suppressed	11234	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"15-24 years"	"15-24"	14	15363	Unreliable	49.8	152.9	24.4	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"25-34 years"	"25-34"	11	10057	Unreliable	54.6	195.7	33.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"35-44 years"	"35-44"	15	9647	Unreliable	87.0	256.5	40.1	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"45-54 years"	"45-54"	56	10061	556.6	420.5	722.8	74.4	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"55-64 years"	"55-64"	70	6036	1159.7	904.1	1465.2	138.6	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"65-74 years"	"65-74"	105	4000	2625.0	2122.9	3127.1	256.2	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"75-84 years"	"75-84"	158	2847	5549.7	4684.3	6415.1	441.5	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"85+ years"	"85+"	161	946	17019.0	14390.1	19648.0	1341.3	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2002"	"2002"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"< 1 year"	"1"	13	1358	Unreliable	509.7	1637.0	265.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"1-4 years"	"1-4"	Suppressed	4966	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"5-14 years"	"5-14"	Suppressed	11065	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"15-24 years"	"15-24"	13	15354	Unreliable	45.1	144.8	23.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"25-34 years"	"25-34"	11	10087	Unreliable	54.4	195.1	32.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"35-44 years"	"35-44"	22	9270	237.3	148.7	359.3	50.6	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"45-54 years"	"45-54"	42	10069	417.1	300.6	563.8	64.4	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"55-64 years"	"55-64"	54	6335	852.4	640.4	1112.2	116.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"65-74 years"	"65-74"	94	4036	2329.0	1882.1	2850.2	240.2	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"75-84 years"	"75-84"	164	2784	5890.8	4989.2	6792.4	460.0	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"85+ years"	"85+"	201	988	20344.1	17531.6	23156.7	1435.0	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2003"	"2003"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"< 1 year"	"1"	Suppressed	1397	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"1-4 years"	"1-4"	Suppressed	5102	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"5-14 years"	"5-14"	Suppressed	11052	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"15-24 years"	"15-24"	Suppressed	15213	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"25-34 years"	"25-34"	10	10323	Unreliable	46.5	178.1	30.6	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"35-44 years"	"35-44"	13	9107	Unreliable	76.0	244.1	39.6	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"45-54 years"	"45-54"	47	10066	466.9	343.1	620.9	68.1	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"55-64 years"	"55-64"	56	6709	834.7	630.5	1083.9	111.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"65-74 years"	"65-74"	98	4102	2389.1	1939.6	2911.5	241.3	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"75-84 years"	"75-84"	168	2768	6069.4	5151.6	6987.2	468.3	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"85+ years"	"85+"	150	995	15075.4	12662.8	17487.9	1230.9	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2004"	"2004"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"< 1 year"	"1"	Suppressed	1463	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"1-4 years"	"1-4"	Suppressed	5180	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"5-14 years"	"5-14"	0	11075	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"15-24 years"	"15-24"	Suppressed	15143	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"25-34 years"	"25-34"	19	10408	Unreliable	109.9	285.1	41.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"35-44 years"	"35-44"	20	8943	223.6	136.6	345.4	50.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"45-54 years"	"45-54"	40	10128	394.9	282.2	537.8	62.4	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"55-64 years"	"55-64"	55	7164	767.7	578.4	999.3	103.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"65-74 years"	"65-74"	83	4122	2013.6	1603.8	2496.1	221.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"75-84 years"	"75-84"	183	2780	6582.7	5629.0	7536.5	486.6	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"85+ years"	"85+"	143	1013	14116.5	11802.7	16430.2	1180.5	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2005"	"2005"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"< 1 year"	"1"	10	1333	Unreliable	359.7	1379.6	237.2	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"1-4 years"	"1-4"	Suppressed	5381	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"5-14 years"	"5-14"	Suppressed	11179	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"15-24 years"	"15-24"	11	14864	Unreliable	36.9	132.4	22.3	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"25-34 years"	"25-34"	11	10813	Unreliable	50.8	182.0	30.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"35-44 years"	"35-44"	20	8971	222.9	136.2	344.3	49.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"45-54 years"	"45-54"	44	10302	427.1	310.3	573.4	64.4	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"55-64 years"	"55-64"	61	7583	804.4	615.3	1033.3	103.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"65-74 years"	"65-74"	92	4239	2170.3	1749.6	2661.7	226.3	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"75-84 years"	"75-84"	183	2744	6669.1	5702.8	7635.4	493.0	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"85+ years"	"85+"	158	1082	14602.6	12325.6	16879.6	1161.7	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2006"	"2006"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"< 1 year"	"1"	12	1355	Unreliable	457.6	1547.0	255.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"1-4 years"	"1-4"	0	5432	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"5-14 years"	"5-14"	0	11401	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"15-24 years"	"15-24"	Suppressed	14375	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"25-34 years"	"25-34"	12	11295	Unreliable	54.9	185.6	30.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"35-44 years"	"35-44"	17	8878	Unreliable	111.5	306.6	46.4	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"45-54 years"	"45-54"	45	10207	440.9	321.6	589.9	65.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"55-64 years"	"55-64"	52	8050	646.0	482.4	847.1	89.6	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"65-74 years"	"65-74"	80	4409	1814.5	1438.8	2258.3	202.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"75-84 years"	"75-84"	139	2792	4978.5	4150.9	5806.2	422.3	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"85+ years"	"85+"	165	1144	14423.1	12222.3	16623.8	1122.8	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2007"	"2007"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	1372	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"1-4 years"	"1-4"	0	5628	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	11651	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"15-24 years"	"15-24"	Suppressed	13953	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"25-34 years"	"25-34"	17	11876	Unreliable	83.4	229.2	34.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"35-44 years"	"35-44"	20	8846	226.1	138.1	349.2	50.6	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"45-54 years"	"45-54"	46	10119	454.6	332.8	606.4	67.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"55-64 years"	"55-64"	76	8464	897.9	707.5	1123.9	103.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"65-74 years"	"65-74"	86	4607	1866.7	1493.1	2305.4	201.3	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"75-84 years"	"75-84"	159	2904	5475.2	4624.2	6326.3	434.2	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"85+ years"	"85+"	164	1189	13793.1	11682.1	15904.1	1077.1	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2008"	"2008"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	1281	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	5703	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	12153	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"15-24 years"	"15-24"	Suppressed	13599	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"25-34 years"	"25-34"	16	12400	Unreliable	73.8	209.5	32.3	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"35-44 years"	"35-44"	26	8988	289.3	189.0	423.9	56.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"45-54 years"	"45-54"	50	10007	499.7	370.9	658.7	70.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"55-64 years"	"55-64"	69	8865	778.3	605.6	985.0	93.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"65-74 years"	"65-74"	93	4828	1926.3	1554.7	2359.8	199.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"75-84 years"	"75-84"	153	2963	5163.7	4345.5	5981.9	417.5	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"85+ years"	"85+"	184	1207	15244.4	13041.7	17447.1	1123.8	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2009"	"2009"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	1369	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	5602	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	12421	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"15-24 years"	"15-24"	11	13407	Unreliable	41.0	146.8	24.7	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"25-34 years"	"25-34"	16	12679	Unreliable	72.1	204.9	31.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"35-44 years"	"35-44"	23	9135	251.8	159.6	377.8	52.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"45-54 years"	"45-54"	47	9860	476.7	350.2	633.9	69.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"55-64 years"	"55-64"	83	9123	909.8	724.6	1127.8	99.9	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"65-74 years"	"65-74"	106	4997	2121.3	1717.4	2525.1	206.0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"75-84 years"	"75-84"	144	3008	4787.2	4005.3	5569.1	398.9	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"85+ years"	"85+"	171	1238	13812.6	11742.3	15882.9	1056.3	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2010"	"2010"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	1402	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	5314	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	12536	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2011"	"2011"	"15-24 years"	"15-24"	13	14158	Unreliable	48.9	157.0	25.5	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2011"	"2011"	"25-34 years"	"25-34"	15	12457	Unreliable	67.4	198.6	31.1	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2011"	"2011"	"35-44 years"	"35-44"	27	9187	293.9	193.7	427.6	56.6	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2011"	"2011"	"45-54 years"	"45-54"	39	9607	406.0	288.7	555.0	65.0	0.0%
